tract,Name,Employment_Rate_rP_gP_pall,,,,,,,,,,,,,,,,,,,,,,,,
34023001504,"Edison, NJ",0.8643,,,,,,,,,,,,,,,,,,,,,,,,
34023001902,"Edison, NJ",0.8459,,,,,,,,,,,,,,,,,,,,,,,,
34023001414,"Edison, NJ",0.8441,,,,,,,,,,,,,,,,,,,,,,,,
34023001415,"Edison, NJ",0.8424,,,,,,,,,,,,,,,,,,,,,,,,
34023001410,"Edison, NJ",0.8381,,,,,,,,,,,,,,,,,,,,,,,,
34023001903,"Edison, NJ",0.8339,,,,,,,,,,,,,,,,,,,,,,,,
34023001409,"Edison, NJ",0.8311,,,,,,,,,,,,,,,,,,,,,,,,
34023001701,"Edison, NJ",0.8272,,,,,,,,,,,,,,,,,,,,,,,,
34023001804,"Edison, NJ",0.8236,,,,,,,,,,,,,,,,,,,,,,,,
34023001600,"Edison, NJ",0.8212,,,,,,,,,,,,,,,,,,,,,,,,
34023001505,"Edison, NJ",0.8189,,,,,,,,,,,,,,,,,,,,,,,,
34023001803,"Edison, NJ",0.8118,,,,,,,,,,,,,,,,,,,,,,,,
34023001417,"Edison, NJ",0.8096,,,,,,,,,,,,,,,,,,,,,,,,
34023001901,"Edison, NJ",0.8082,,,,,,,,,,,,,,,,,,,,,,,,
34023001805,"Edison, NJ",0.8068,,,,,,,,,,,,,,,,,,,,,,,,
34023008900,"Edison, NJ",0.8051,,,,,,,,,,,,,,,,,,,,,,,,
34023001413,"Edison, NJ",0.8029,,,,,,,,,,,,,,,,,,,,,,,,
34023001502,"Edison, NJ",0.7978,,,,,,,,,,,,,,,,,,,,,,,,
34023001411,"Edison, NJ",0.7964,,,,,,,,,,,,,,,,,,,,,,,,
34023001416,"Edison, NJ",0.7887,,,,,,,,,,,,,,,,,,,,,,,,
34023001702,"Edison, NJ",0.787,,,,,,,,,,,,,,,,,,,,,,,,
34023001506,"Edison, NJ",0.7868,,,,,,,,,,,,,,,,,,,,,,,,
34023001412,"Edison, NJ",0.7739,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sum of Employment_Rate_rP_gP_pall,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
,,Row Labels,34023001409,34023001410,34023001411,34023001412,34023001413,34023001414,34023001415,34023001416,34023001417,34023001502,34023001504,34023001505,34023001506,34023001600,34023001701,34023001702,34023001803,34023001804,34023001805,34023001901,34023001902,34023001903,34023008900,Grand Total
,,"Edison, NJ",0.8311,0.8381,0.7964,0.7739,0.8029,0.8441,0.8424,0.7887,0.8096,0.7978,0.8643,0.8189,0.7868,0.8212,0.8272,0.787,0.8118,0.8236,0.8068,0.8082,0.8459,0.8339,0.8051,18.7657
,,Grand Total,0.8311,0.8381,0.7964,0.7739,0.8029,0.8441,0.8424,0.7887,0.8096,0.7978,0.8643,0.8189,0.7868,0.8212,0.8272,0.787,0.8118,0.8236,0.8068,0.8082,0.8459,0.8339,0.8051,18.7657
